Sample	CK_0d	CK_1d	CK_7d	CK_21d	CK_56d	CIP_A_0d	CIP_A_1d	CIP_A_7d	CIP_A_21d	CIP_A_56d	CIP_B_0d	CIP_B_1d	CIP_B_7d	CIP_B_21d	CIP_B_56d	CIP_C_0d	CIP_C_1d	CIP_C_7d	CIP_C_21d	CIP_C_56d	CIP_D_0d	CIP_D_1d	CIP_D_7d	CIP_D_21d	CIP_D_56d	TCS_A_0d	TCS_A_1d	TCS_A_7d	TCS_A_21d	TCS_A_56d	TCS_B_0d	TCS_B_1d	TCS_B_7d	TCS_B_21d	TCS_B_56d	TCS_C_0d	TCS_C_1d	TCS_C_7d	TCS_C_21d	TCS_C_56d	TCS_D_0d	TCS_D_1d	TCS_D_7d	TCS_D_21d	TCS_D_56d	CU_A_0d	CU_A_1d	CU_A_7d	CU_A_21d	CU_A_56d	CU_B_0d	CU_B_1d	CU_B_7d	CU_B_21d	CU_B_56d	CU_C_0d	CU_C_1d	CU_C_7d	CU_C_21d	CU_C_56d	CU_D_0d	CU_D_1d	CU_D_7d	CU_D_21d	CU_D_56d	TCS_CU_0d	TCS_CU_1d	TCS_CU_7d	TCS_CU_21d	TCS_CU_56d	CIP_TCS_0d	CIP_TCS_1d	CIP_TCS_7d	CIP_TCS_21d	CIP_TCS_56d	CIP_CU_0d	CIP_CU_1d	CIP_CU_7d	CIP_CU_21d	CIP_CU_56d	CIP_TCS_CU_0d	CIP_TCS_CU_1d	CIP_TCS_CU_7d	CIP_TCS_CU_21d	CIP_TCS_CU_56d	type	sum
bacitracin__bacA	0.041	0.043	0.059	0.046	0.046	0.051	0.067	0.047	0.048	0.071	0.051	0.046	0.043	0.044	0.047	0.047	0.037	0.063	0.048	0.037	0.054	0.023	0.028	0.088	0.054	0.054	0.038	0.052	0.058	0.043	0.059	0.047	0.046	0.06	0.021	0.058	0.026	0.047	0.077	0.037	0.067	0.016	0.055	0.023	0.041	0.047	0.046	0.052	0.05	0.024	0.054	0.027	0.06	0.065	0.063	0.053	0.028	0.074	0.014	0.053	0.045	0.016	0.228	0.092	0.032	0.055	0.026	0.214	0.206	0.011	0.039	0.024	0.05	0.007	0.027	0.057	0.025	0.144	0.117	0.021	0.052	0.019	0.014	0.008	0.021	bacitracin	4.414
sulfonamide__sul1	0.006	0.003	0.003	0.002	0.003	0.007	0.003	0.005	0.004	0.006	0.006	0.005	0.002	0.007	0.007	0.005	0.002	0.009	0.014	0.007	0.004	0.001	0.012	0.016	0.01	0.006	0.003	0.002	0.005	0.001	0.006	0.005	0.002	0.01	0.002	0.006	0.002	0.001	0.029	0.009	0.004	0.001	0.027	0.013	0.013	0.005	0.007	0.008	0.009	0.02	0.008	0.025	0.017	0.033	0.017	0.005	0.031	0.005	0.039	0.013	0.004	0.001	0.023	0.015	0.062	0.004	0.003	0.008	0.037	0.013	0.005	0.004	0.17	0.012	0.01	0.009	0.003	1.157	0.309	0.005	0.007	0.003	0.002	0.011	0.011	sulfonamide	2.426
multidrug__mexF	0.004	0.001	0.005	0.005	0.002	0.004	0.001	0.006	0.003	0.002	0.007	0.002	0.009	0.005	0.003	0.003	0.001	0.01	0.007	0.002	0.006	0.002	0.014	0.014	0.004	0.003	0.001	0.001	0.003	0.001	0.004	0.001	0.007	0.01	0.001	0.002	0.001	0.008	0.007	0.001	0.005	0.001	0.01	0.003	0.001	0.002	0.002	0.004	0.006	0.002	0.004	0.003	0.006	0.01	0.003	0.003	0.002	0.019	0.009	0.005	0.004	0.001	0.005	0.014	0.008	0.004	0.002	0.029	0.072	0.02	0.001	0.001	0.027	0.012	0.014	0.003	0.001	0.078	0.038	0.023	0.004	0.002	0.061	0.073	0.05	multidrug	0.82
multidrug__multidrug_transporter	0.002	0.001	0.004	0.002	0.004	0.002	0.002	0.002	0.003	0.001	0.002	0.005	0.003	0.002	0.001	0.002	0.002	0.007	0.003	0.001	0.001	0.001	0.031	0.017	0.002	0.001	0.001	0.002	0.004	0.001	0.002	0.002	0.004	0.005	0.001	0.002	0.001	0.004	0.006	0.001	0.002	0.001	0.003	0.004	0.001	0.001	0.003	0.002	0.003	0.002	0.001	0.011	0.005	0.007	0.002	0.001	0.017	0.013	0.011	0.004	0.001	0.002	0.019	0.019	0.021	0.001	0.002	0.038	0.05	0.01	0.001	3.07E-04	0.034	0.006	0.006	0.002	0.001	0.079	0.024	0.015	0.002	0.001	0.156	0.035	0.021	multidrug	0.780307
multidrug__qacEdelta1	0.002	0.001	2.08E-04	1.93E-04	0.001	0.003	0.001	4.41E-04	2.14E-04	0.002	0.001	3.68E-04	1.86E-04	0.001	0.002	0.002	0.001	0.004	0.005	0.002	0.001	2.35E-04	0	0.001	0.003	0.003	2.85E-04	6.17E-05	0	2.26E-04	0.002	2.54E-04	0.001	0.001	0	0.003	0.001	0.001	0.002	0.002	0.003	0.001	0.009	0.001	0.001	0.002	0.001	0.001	0.001	3.56E-04	0.003	0.003	0.005	0.008	0.004	0.001	0.001	0.001	0.008	0.006	0.001	4.23E-04	0.002	0.001	0.025	0.002	0.004	0.005	0	2.72E-04	0.001	0.001	0.075	0.006	0.002	0.005	0.001	0.249	0.079	0.001	0.002	0.002	3.12E-04	0.001	0.001	multidrug	0.5790347
tetracycline__tetA	4.78E-05	1.90E-04	2.31E-04	2.07E-05	2.48E-05	1.02E-05	0	9.49E-05	2.93E-05	2.87E-05	2.65E-04	0.001	4.45E-04	2.43E-04	3.15E-04	3.50E-04	7.65E-05	0.002	4.44E-04	2.30E-04	8.60E-05	1.35E-04	0.004	0.036	0.003	6.30E-05	3.28E-04	1.18E-04	5.23E-05	3.22E-05	9.01E-05	3.71E-04	0.001	2.92E-05	2.45E-05	1.55E-04	1.56E-05	1.15E-04	0.001	0	5.95E-05	4.46E-04	0.003	2.36E-04	6.56E-05	2.58E-05	1.73E-05	6.43E-05	0	2.80E-04	9.21E-05	2.33E-05	2.53E-04	0.192	1.51E-04	2.07E-04	1.84E-04	1.46E-04	1.85E-04	0.002	1.86E-05	4.01E-05	3.96E-05	1.35E-05	6.20E-05	2.51E-05	2.92E-04	4.00E-05	1.38E-05	2.20E-04	1.74E-05	2.27E-05	0.113	0.01	0.002	0.001	0	0.114	0.064	0.008	1.16E-05	3.20E-05	4.72E-04	0.001	0.001	tetracycline	0.5674171
fosmidomycin__rosB	0.002	0.002	0.004	0.003	0.001	0.002	0.003	0.003	0.003	0.003	0.002	0.002	0.002	0.002	0.002	0.002	0.001	0.004	0.003	0.001	0.002	0.001	0.006	0.012	0.003	0.002	0.002	0.002	0.004	0.001	0.003	0.003	0.002	0.006	0.001	0.002	0.001	4.08E-04	0.006	0.001	0.002	4.52E-04	0.001	0.003	0.001	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.004	0.005	0.003	0.002	0.003	0.008	0.003	0.004	0.002	0.001	0.028	0.012	0.015	0.002	0.001	0.02	0.034	0.014	0.002	0.002	0.023	0.009	0.012	0.002	0.001	0.016	0.007	0.014	0.002	0.001	0.062	0.076	0.036	fosmidomycin	0.55586
multidrug__mdtB	0.003	0.002	0.009	0.005	0.003	0.004	0.003	0.003	0.003	0.005	0.004	0.004	0.004	0.004	0.003	0.003	0.004	0.004	0.004	0.004	0.004	0.002	0.004	0.002	0.006	0.003	0.002	0.003	0.005	0.003	0.007	0.003	0.005	0.011	0.001	0.005	0.002	0.003	0.01	0.002	0.006	0.001	0.005	0.004	0.003	0.003	0.002	0.002	0.004	0.002	0.004	0.003	0.005	0.006	0.003	0.004	0.002	0.006	0.005	0.006	0.001	0.001	0.017	0.014	0.013	0.004	0.001	0.033	0.043	0.007	0.002	0.001	0.01	0.002	0.003	0.003	0.001	0.058	0.026	0.007	0.004	0.001	0.006	0.015	0.015	multidrug	0.525
sulfonamide__sul2	3.33E-04	4.52E-04	9.55E-05	6.85E-05	1.92E-04	6.13E-05	1.17E-04	1.53E-04	1.07E-04	0.001	3.94E-04	0.001	1.09E-04	0.001	0.003	9.13E-05	9.70E-05	0	0.004	0.003	0.001	2.29E-04	0.004	0.008	0.003	2.94E-04	4.13E-04	4.26E-04	4.86E-04	0.007	1.34E-04	2.96E-04	3.79E-05	3.71E-04	0.004	1.10E-04	2.31E-04	3.63E-05	0.001	0.001	8.76E-05	1.02E-04	3.73E-04	1.03E-04	0	0	1.83E-04	2.77E-04	3.29E-04	0.005	1.65E-04	2.47E-04	3.48E-04	0.102	0.001	4.23E-04	2.13E-04	1.08E-04	2.78E-04	3.84E-05	3.70E-04	7.77E-05	5.55E-05	1.24E-04	0.005	1.37E-04	2.21E-04	4.05E-04	0	0.001	8.82E-05	0	2.34E-04	0.002	0.002	6.29E-05	0	0.006	0.297	0.056	4.34E-04	0	0	0	3.59E-04	sulfonamide	0.5301781
chloramphenicol__floR	7.55E-05	9.73E-05	3.32E-05	3.49E-05	3.24E-05	0	0	6.22E-05	9.43E-06	0	1.10E-04	3.42E-04	2.71E-05	0.001	0.002	2.22E-05	0	0	0.001	0.001	0	0	4.40E-04	0.001	0.004	0	0	0	1.65E-04	1.81E-04	0	0	0	1.23E-04	2.11E-05	0	0	8.70E-06	2.90E-04	0	2.94E-05	1.69E-05	0	0	0	2.64E-05	0	0	0	0.001	0	4.02E-05	0	0.009	4.37E-04	0	0	3.02E-05	9.94E-05	1.22E-04	1.35E-04	0	0	1.36E-05	5.88E-05	0	0	3.37E-05	3.53E-05	4.80E-05	8.37E-05	0	3.87E-04	2.77E-04	7.32E-05	1.71E-04	0	0.343	0.099	0.001	1.73E-04	0	0.001	0.002	3.19E-04	chloramphenicol	0.47068483
tetracycline__tetG	4.67E-05	1.45E-04	1.07E-05	3.58E-05	2.52E-05	0	0	0	1.26E-05	1.77E-05	1.43E-04	2.04E-04	2.02E-05	3.43E-04	0.001	3.04E-05	2.49E-05	2.81E-05	4.98E-04	0.001	0	4.31E-05	0.001	0.008	0.005	1.28E-05	0	0	8.54E-05	1.98E-04	0	0	0	4.22E-05	1.53E-05	0	0	2.56E-05	0.005	0	0	0	0	4.68E-05	1.93E-04	0	0	0	5.89E-05	3.36E-04	4.52E-05	6.73E-05	1.77E-05	0.005	3.34E-04	3.52E-05	0	5.26E-05	1.02E-04	4.16E-04	0	0	0	2.41E-05	0	2.92E-05	0	0	2.70E-05	0	0	0	0	5.23E-05	0.002	7.28E-05	1.03E-04	0.25	0.069	0.003	8.82E-05	0	1.58E-04	0.001	1.79E-04	tetracycline	0.355446
multidrug__mdtC	0.002	0.001	0.007	0.004	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.004	0.004	0.004	0.002	0.002	0.002	0.004	0.004	0.002	0.002	0.001	0.003	0.002	0.002	0.002	0.001	0.003	0.005	0.002	0.003	0.001	0.004	0.01	0.001	0.002	0.001	0.002	0.008	0.001	0.003	0.001	0.002	0.002	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.001	0.005	0.004	0.002	0.002	0.001	0.004	0.003	0.004	0.001	2.83E-04	0.016	0.006	0.009	0.002	0.001	0.019	0.02	0.007	0.001	0.001	0.009	0.002	0.002	0.002	4.17E-04	0.027	0.013	0.006	0.002	0.001	0.002	0.004	0.007	multidrug	0.3227
multidrug__multidrug_ABC_transporter	0.001	0.001	0.001	0.002	0.001	0.001	0.002	0.001	0.002	0.001	0.001	0.003	0.002	0.002	0.001	0.001	0.001	0.003	0.002	0.001	0.001	0.001	0.006	0.007	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.002	0.002	0.001	0.001	0.002	0.002	0.002	0.001	3.56E-04	0.001	0.001	0.006	0.002	0.001	0.001	0.001	0.002	0.002	0.001	0.002	0.002	0.001	0.003	0.001	0.001	0.003	0.005	0.002	0.001	0.001	0.001	0.004	0.009	0.004	0.001	0.001	0.013	0.035	0.004	0.001	0.001	0.044	0.008	0.003	0.001	0.001	0.048	0.02	0.003	0.001	0.001	0.007	0.008	0.008	multidrug	0.333356
multidrug__acrB	0.001	0.001	0.002	0.001	0.003	0.002	0.001	0.002	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.001	0.002	0.004	0.002	0.002	0.001	0.001	0.017	0.009	0.003	0.001	0.001	0.002	0.003	0.002	0.002	0.001	0.003	0.003	0.001	0.002	0.001	0.002	0.003	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.002	0.002	0.003	0.004	0.002	0.001	0.004	0.005	0.003	0.002	0.001	0.001	0.011	0.005	0.007	0.001	0.001	0.015	0.018	0.003	0.001	2.71E-04	0.01	0.002	0.002	0.002	3.61E-04	0.047	0.012	0.007	0.001	3.05E-04	0.019	0.009	0.008	multidrug	0.321937
